s,p,o
state_3_-4_39_0_9_900,has_lat,lat_30
state_4_-7_4_0_9_450,has_lat,lat_36
state_3_-8_17_0_9_0,transit_to,state_3_-8_19_0_9_0
state_3_-7_9_0_9_450,has_long,long_-74
state_2_-4_33_0_9_0,transit_to,state_3_-7_32_0_9_0
state_2_-6_23_0_9_375,has_lat,lat_16
state_1_-7_9_0_9_700,transit_to,state_2_-7_11_0_9_750
state_1_-5_33_0_9_0,has_lat,lat_13
state_3_-6_25_0_9_150,transit_to,state_3_-6_23_0_9_0
state_3_-7_4_0_9_0,transit_to,state_3_-7_5_0_9_0
state_2_-10_15_0_9_225,has_lat,lat_24
state_2_-10_16_0_9_450,transit_to,state_2_-10_15_0_9_225
state_2_-6_24_0_9_1700,has_long,long_-62
state_3_-7_12_0_9_400,has_lat,lat_30
state_4_-7_18_0_9_0,has_long,long_-66
state_3_-9_12_0_9_2800,has_lat,lat_30
state_3_-8_20_0_9_800,has_long,long_-77
state_2_-6_36_0_9_0,has_long,long_-55
state_2_-6_31_0_9_0,has_lat,lat_19
state_2_-7_15_0_9_0,has_long,long_-67
state_2_-6_25_0_9_450,transit_to,state_2_-7_24_0_9_500
state_2_-8_20_0_9_500,transit_to,state_2_-8_21_0_9_550
state_2_-7_10_0_9_150,has_long,long_-71
state_4_-4_27_0_9_0,transit_to,state_4_-4_32_0_9_0
