,ID,Name,Status,Latitude,Longitude,Maximum.Wind,date_time,diff,rapid_int,i,n,persistence,product,Initial.Max,speed,speed_z,speed_m,Jday,Maximum.Wind_p,Latitude_p,Longitude_p,i_p,year,month,season,distance_travelled_km,speed_p,speed_z_p,distance_travelled_km_p,Maximum.Wind_step_2,Maximum.Wind_step_3,Maximum.Wind_step_1,Maximum.Wind_step_4,Maximum.Wind_step_5,diff_step_1,diff_step_2,diff_step_3,diff_step_4,diff_step_5,rapid_int_step_1,rapid_int_step_2,rapid_int_step_3,rapid_int_step_4,rapid_int_step_5
62,AL011985,                ANA, TS,32.2,-67.0,35,7/17/1985 0:00,5.0,0.0,6,16,5.0,175.0,35.0,14.15806297,0.035088272999999996,9.266243887,56,35,31.3,-66.6,5,1985,7,3,106.98376941062304,12.72777126,0.034804311,91.27955035746511,40,45,40,45,45,5,5,10,10,10,0.0,0.0,0.0,0.0,0.0
63,AL011985,                ANA, TS,33.3,-67.2,40,7/17/1985 6:00,10.0,0.0,7,16,5.0,175.0,35.0,16.44605624,0.035433598,9.266243887,56,35,32.2,-67.0,6,1985,7,3,123.7361190134174,14.15806297,0.035088272999999996,106.98376941062304,45,45,40,45,50,0,5,5,5,10,0.0,0.0,0.0,0.0,0.0
64,AL011985,                ANA, TS,34.4,-67.3,40,7/17/1985 12:00,10.0,0.0,8,16,5.0,200.0,40.0,19.11891376,0.035898896,9.266243887,56,40,33.3,-67.2,7,1985,7,3,122.66250910261316,16.44605624,0.035433598,123.7361190134174,45,45,45,50,55,5,5,5,10,15,0.0,0.0,0.0,0.0,0.0
65,AL011985,                ANA, TS,35.6,-67.3,45,7/17/1985 18:00,10.0,0.0,9,16,5.0,200.0,40.0,20.51767763,0.036465601,9.266243887,56,,34.4,-67.3,,1985,7,3,133.4339119734708,,,,45,50,45,55,60,0,0,5,10,15,0.0,0.0,0.0,0.0,0.0
66,AL011985,                ANA, TS,37.2,-66.8,45,7/18/1985 0:00,10.0,0.0,10,16,5.0,225.0,45.0,21.32605,0.037109313,9.266243887,55,,35.6,-67.3,,1985,7,3,183.45260537785498,,,,50,55,45,60,,0,5,10,15,,0.0,0.0,0.0,0.0,
67,AL011985,                ANA, TS,39.1,-65.9,45,7/18/1985 6:00,5.0,0.0,11,16,5.0,225.0,45.0,26.21605609,0.037698313,9.266243887,55,,37.2,-66.8,,1985,7,3,225.44849212850505,,,,55,60,50,,,5,10,15,,,0.0,0.0,0.0,,
68,AL011985,                ANA, TS,40.8,-64.4,50,7/18/1985 12:00,10.0,0.0,12,16,0.0,0.0,45.0,34.0306065,0.038277445,9.266243887,55,,39.1,-65.9,,1985,7,3,228.2058880571149,,,,60,,55,,,5,10,,,,0.0,0.0,,,
69,AL011985,                ANA, TS,42.5,-63.5,55,7/18/1985 18:00,10.0,0.0,13,16,5.0,250.0,50.0,37.56566291,0.038944997,9.266243887,55,,40.8,-64.4,,1985,7,3,203.2811024377152,,,,,,60,,,5,,,,,0.0,,,,
70,AL011985,                ANA, TS,44.2,-60.3,60,7/19/1985 0:00,15.0,0.0,14,16,10.0,550.0,55.0,35.71698768,0.039579819,9.266243887,54,,42.5,-63.5,,1985,7,3,320.39974881529645,,,,,,,,,,,,,,,,,,
71,AL011986,             ANDREW, TS,29.7,-77.5,35,6/6/1986 0:00,5.0,0.0,5,16,0.0,0.0,30.0,17.74154905,0.03304162,9.266243887,97,,29.1,-77.0,,1986,6,3,82.44559816277359,,,,45,45,40,45,45,5,10,10,10,10,0.0,0.0,0.0,0.0,0.0
72,AL011986,             ANDREW, TS,30.2,-77.8,40,6/6/1986 6:00,10.0,0.0,6,16,5.0,175.0,35.0,14.98332469,0.033834866,9.266243887,97,,29.7,-77.5,,1986,6,3,62.66177842571923,,,,45,45,45,45,45,5,5,5,5,5,0.0,0.0,0.0,0.0,0.0
73,AL011986,             ANDREW, TS,30.7,-78.0,45,6/6/1986 12:00,15.0,0.0,7,16,10.0,400.0,40.0,12.05802375,0.034365663,9.266243887,97,,30.2,-77.8,,1986,6,3,58.81006172551728,,,,45,45,45,45,45,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
74,AL011986,             ANDREW, TS,31.4,-77.9,45,6/6/1986 18:00,15.0,0.0,8,16,10.0,450.0,45.0,10.09439311,0.034804311,9.266243887,97,,30.7,-78.0,,1986,6,3,78.41721804055916,,,,45,45,45,45,45,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
75,AL011986,             ANDREW, TS,31.9,-77.8,45,6/7/1986 0:00,10.0,0.0,9,16,5.0,225.0,45.0,11.14794057,0.035158197,9.266243887,96,,31.4,-77.9,,1986,6,3,56.39748100920303,,,,45,45,45,45,45,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
